username, created_at, lng, lat, text
JoeshowA, Wed Jan 20 23:58:26 +0000 2021, -71.021340, 42.256124, @ZekesMommasKid @Name90001 @nytimes Im just a regular person in Boston media.WBCN 14y QUINCYCity of PresidentsWe… https://t.co/VNwXhqFAv0 
1BallOneTeam1, Wed Jan 20 23:58:27 +0000 2021, -121.873730, 37.331159, Round 1 of @MilitiaLeague preseason Tourney: 🥊: @5Starelt 📺: https://t.co/Aaro38d6el  PG: @kyle69488534 SG:… https://t.co/G79vHPDYJ9 
MMpedrodpacas, Wed Jan 20 23:58:27 +0000 2021, -98.540651, 29.417501, @JamesWolverton6 @woodyspigroasts @Brexit011 @Duke_Mauerman Correct.  It waa intended as ugly sarcasm and definitely not as praise 
_SaluteTheCakes, Wed Jan 20 23:58:27 +0000 2021, -117.022695, 38.502147, I really hate when my close male friends try to date me 🤦🏽‍♀️ like whyyyy you wanna mess up this dope ass friendship ? 
Libslady, Wed Jan 20 23:58:27 +0000 2021, -80.181835, 38.920142, Yes she does...we are grateful for her leadership 
yatta1967, Wed Jan 20 23:58:27 +0000 2021, -74.259669, 40.650436, @AntwaunWoods_ Facts my brother 🤎✊🏾🖤✊🏼✊🏿✊🏽🙏🙏🙏 
TurnbullWhitby, Wed Jan 20 23:58:27 +0000 2021, -78.892246, 43.808878, @Concerned4Can @AHousefather @JustinTrudeau Also, travel restrictions have been put in place since early on and hav… https://t.co/6t8zwutuGP 
JamiyahWalker, Wed Jan 20 23:58:27 +0000 2021, -90.042302, 32.607135, I just hope everything go as planned this weekend! I just wanna have funnnnnn 
RichPuszczewicz, Wed Jan 20 23:58:27 +0000 2021, -87.732013, 41.833585, @RexChapman Wait for it......! 
ShelbyLeiqh_, Wed Jan 20 23:58:27 +0000 2021, -83.173867, 32.678207, @sydbizzles Oh honeyyyyy 
JohnMal55371483, Wed Jan 20 23:58:28 +0000 2021, -95.446486, 29.838495, @RaxKingIsDead Probably was in a rush! 
GirlsLoc, Wed Jan 20 23:58:28 +0000 2021, -73.757100, 42.646300, Just posted a video @ Albany, New York https://t.co/PA8x18V0q4 
patriciabellomo, Wed Jan 20 23:58:28 +0000 2021, -82.914576, 42.584895, @NoTatsClassy Absolutely not! 
Jose_Comaduran, Wed Jan 20 23:58:28 +0000 2021, -105.550890, 38.997936, Can y’all stop with the comments about me and any friend I have please? I’m not an object to people :) 
TheMightyHirsch, Wed Jan 20 23:58:28 +0000 2021, -87.732013, 41.833585, Let’s do it!🔶🔷⛏ #swingtheaxe @UWPlattevilleFB @CoachHoover9 @BDELL_21 https://t.co/oYKvNwNKh0 
cwilliams1113wy, Wed Jan 20 23:58:28 +0000 2021, -103.233410, 44.075227, @ErinInTheMorn @glaad @WhiteHouse 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 
memberglobalzer, Wed Jan 20 23:58:28 +0000 2021, -100.076888, 31.168893, @SenSchumer Be stronger. A lot of people across this country worked their butts off to get a Democratic majority. Don't waste it. 
n_o1952, Wed Jan 20 23:58:28 +0000 2021, -95.446486, 29.838495, @TravisAllen02 Sticking his finger in his ass 
moncef_fahim, Wed Jan 20 23:58:29 +0000 2021, -73.968542, 40.780709, @digime - can I store data on iCloud? 
governorivee, Wed Jan 20 23:58:29 +0000 2021, -88.161555, 30.683649, @theealterego_ I understand! Well I definitely can’t tell you how to feel. I’d just suggest you look at it from the… https://t.co/RMEBymz214 
Teacher_Levine, Wed Jan 20 23:58:29 +0000 2021, -73.005765, 40.879379, Patiently waiting! https://t.co/shaFlpXTnj 
y0ungtam, Wed Jan 20 23:58:29 +0000 2021, -79.467812, 36.078021, annoyed 😒 
Tamarama321, Wed Jan 20 23:58:29 +0000 2021, -79.267953, 43.327593, @dsbn Will there finally be synchronous learning?? I think it is important for these teens to have a lesson taught… https://t.co/JEfXZL14dB 
sigurmoz, Wed Jan 20 23:58:29 +0000 2021, -117.173571, 34.052874, @DocWiggs @DetroitOnLion Oh good...im glad that is in your heart...but were you tweeting about it when it was happe… https://t.co/TV2Eq9JZsM 
_CARLISSA_, Wed Jan 20 23:58:29 +0000 2021, -91.401008, 30.937336, &amp; if it happened it was meant to happen. 
DasguptaJay, Wed Jan 20 23:58:29 +0000 2021, -95.446486, 29.838495, Lol I just saw that and thought the same thing! 
jibea, Wed Jan 20 23:58:29 +0000 2021, -73.723025, 45.557830, So great! Start over. A new day. https://t.co/PcTLp5SYBW 
PhillyForKamala, Wed Jan 20 23:58:29 +0000 2021, -77.604684, 41.117936, Today is a very, very good day. 💖 
TheMissesSmith, Wed Jan 20 23:58:29 +0000 2021, -75.601146, 39.777541, @Kivenc2 Exactly! No excuses. 
DealWithitSF, Wed Jan 20 23:58:29 +0000 2021, -122.678249, 45.518237, 1.23.21 11am pst @ Portland, Oregon https://t.co/qUYxSEjkwp 
rtappan, Wed Jan 20 23:58:30 +0000 2021, -77.396700, 39.333300, Need eggs, I got some. @ Hope Hill, Maryland https://t.co/6pRVW16fc7 
gmiller1643, Wed Jan 20 23:58:30 +0000 2021, -119.306608, 37.269176, @morethanmySLE I think you could get an audience with this administration to discuss your thoughts on Medicare4all. 
FKomics, Wed Jan 20 23:58:30 +0000 2021, -122.435979, 37.770657, I'm not Just Sayin IT 2 SAY IT SUBSCRIBE NOW‼️🥵🙈🔽🔽 @akujithot 🔽🔽https://t.co/z88OGP5TwC#FKomics #LustForToezzz… https://t.co/NyBRcNtN29 
squeakytoy, Wed Jan 20 23:58:30 +0000 2021, -97.754724, 30.323346, I knew about you (and met you once at Punchbowl Social in Portland!) because I work on the World Domination Summit… https://t.co/DU5K01Suso 
yfbmink, Wed Jan 20 23:58:30 +0000 2021, -95.446486, 29.838495, *daddy 
ErnieApreza, Wed Jan 20 23:58:30 +0000 2021, -122.330602, 47.614817, Surreal. 
IGonima, Wed Jan 20 23:58:30 +0000 2021, -81.590344, 28.546119, @nataliagirald48 Pues yo pero ni modo 
E_BOOGi3, Wed Jan 20 23:58:30 +0000 2021, -80.846785, 35.209059, Kratos = that nigga https://t.co/A9AkWZyp9a 
Psyolus, Wed Jan 20 23:58:30 +0000 2021, -122.194398, 47.481598, @wilddog117 I had a policy with them in the past. Never filed a claim with them or anything like that, though. :P 
YnotNyc, Wed Jan 20 23:58:30 +0000 2021, -73.754761, 40.706441, Just posted a photo @ YNOT Transport NYC https://t.co/jI8aJmsute 
JoeTillman_, Wed Jan 20 23:58:31 +0000 2021, -86.760091, 33.385555, @UnkleSamm Not at all! Lol 
anthonyramey5, Wed Jan 20 23:58:31 +0000 2021, -118.411907, 34.020789, @MysterySolvent They're probably raising money off of it 
TrevonDLogan, Wed Jan 20 23:58:31 +0000 2021, -82.985772, 39.994684, This is amazing news!!! Congratulations @janellecj!!! 
